difficulty,seed,success,score,steps,total_reward,safety_violations,missing_incident_reports,policy
easy,0,False,0.03,37,-0.21,0,0,random_baseline
easy,1,False,0.0,36,-0.49,0,0,random_baseline
easy,2,False,0.14,40,-0.2,0,0,random_baseline
easy,3,False,0.03,38,-0.21,0,0,random_baseline
easy,4,False,0.0,36,-0.24,0,0,random_baseline
medium,0,False,0.0,68,-0.59,0,0,random_baseline
medium,1,False,0.0,59,-0.79,0,0,random_baseline
medium,2,False,0.14,70,-0.4,0,0,random_baseline
medium,3,False,0.185,70,-0.305,0,0,random_baseline
medium,4,False,0.14,70,-0.35,0,0,random_baseline
hard,0,False,0.0,84,-0.74,0,0,random_baseline
hard,1,False,0.0,76,-0.99,0,0,random_baseline
hard,2,False,0.17,90,-0.27,0,0,random_baseline
hard,3,False,0.17,90,-0.52,0,0,random_baseline
hard,4,False,0.06,90,-0.53,0,0,random_baseline
easy,0,True,0.8371,10,1.1971,0,0,heuristic_demo
easy,1,True,0.8371,10,1.1971,0,0,heuristic_demo
easy,2,True,0.8371,10,1.1971,0,0,heuristic_demo
easy,3,True,0.8371,10,1.1971,0,0,heuristic_demo
easy,4,True,0.8371,10,1.1971,0,0,heuristic_demo
medium,0,True,0.8134,41,1.6734,0,0,heuristic_demo
medium,1,True,0.8174,33,1.6774,0,0,heuristic_demo
medium,2,True,0.8165,33,1.6765,0,0,heuristic_demo
medium,3,True,0.8132,41,1.6732,0,0,heuristic_demo
medium,4,True,0.8156,38,1.6756,0,0,heuristic_demo
hard,0,True,0.7854,55,2.1454,0,0,heuristic_demo
hard,1,True,0.8323,49,2.1923,0,0,heuristic_demo
hard,2,True,0.7859,53,2.1459,0,0,heuristic_demo
hard,3,True,0.7852,55,2.1452,0,0,heuristic_demo
hard,4,True,0.8312,54,2.1912,0,0,heuristic_demo
